date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:26:08	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-62b1dbfc-e51bf0e9698fbf24;gz%22	https://packdemusicas.com.br/robots.txt		(from )
12:26:08	72422/72422	---M-Z	200	added ('OK')	text/html	etag:%2211ae6-66857f61-12b345cc576af1aa;gz%22	https://packdemusicas.com.br/	C:/Meus%20Sites/Pack%20100%20Mil/100%20mil/packdemusicas.com.br/index.html	(from )
12:26:08	6174/6174	---M-Z	200	added ('OK')	text/css	etag:%22181e-63c9c287-e33aa92c003ebc36;gz%22	https://packdemusicas.com.br/normalize.css	C:/Meus%20Sites/Pack%20100%20Mil/100%20mil/packdemusicas.com.br/normalize.css	(from https://packdemusicas.com.br/)
12:26:08	1032/1032	---M-Z	200	added ('OK')	text/css	etag:%22408-63c9c288-b49a7a5b723de72a;gz%22	https://packdemusicas.com.br/reset.css	C:/Meus%20Sites/Pack%20100%20Mil/100%20mil/packdemusicas.com.br/reset.css	(from https://packdemusicas.com.br/)
12:26:08	96621/96621	---M-Z	200	added ('OK')	text/css	etag:%221796d-66857f48-9a29531fa0510322;gz%22	https://packdemusicas.com.br/principal.css	C:/Meus%20Sites/Pack%20100%20Mil/100%20mil/packdemusicas.com.br/principal.css	(from https://packdemusicas.com.br/)
12:26:08	37128/37128	---M--	200	added ('OK')	image/png	etag:%229108-654eabb5-38dc274cd46cca9b;;;%22	https://packdemusicas.com.br/Imagens/favicon.png	C:/Meus%20Sites/Pack%20100%20Mil/100%20mil/packdemusicas.com.br/Imagens/favicon.png	(from https://packdemusicas.com.br/)
12:26:09	8310/8310	---M-Z	200	added ('OK')	application/javascript	etag:%22104670cf6bbfa72f811425d8f6d8a072%22	https://scripts.converteai.net/67ca577f-0d1b-4341-8e89-876ca224e474/players/654e6e7692601f0009b310f2/player.js	C:/Meus%20Sites/Pack%20100%20Mil/100%20mil/scripts.converteai.net/67ca577f-0d1b-4341-8e89-876ca224e474/players/654e6e7692601f0009b310f2/player.js	(from https://packdemusicas.com.br/)
12:26:09	674010/674010	---M-Z	200	added ('OK')	text/javascript	etag:W/%2279ff5e4fdfd92a47da6eaf5979d5e226%22	https://cdn.converteai.net/lib/js/smartplayer/v1/smartplayer.min.js	C:/Meus%20Sites/Pack%20100%20Mil/100%20mil/cdn.converteai.net/lib/js/smartplayer/v1/smartplayer.min.js	(from https://packdemusicas.com.br/)
12:26:10	1592/1592	---M--	200	added ('OK')	image/jpeg	etag:%222bd747e375f2999f15be0a8e42795c60%22	https://images.converteai.net/67ca577f-0d1b-4341-8e89-876ca224e474/players/654e6e7692601f0009b310f2/thumbnail.jpg	C:/Meus%20Sites/Pack%20100%20Mil/100%20mil/images.converteai.net/67ca577f-0d1b-4341-8e89-876ca224e474/players/654e6e7692601f0009b310f2/thumbnail.jpg	(from https://packdemusicas.com.br/)
12:26:10	4510/4510	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2011%20Jul%202024%2015:26:10%20GMT	https://analytics.tiktok.com/i18n/pixel/events.js	C:/Meus%20Sites/Pack%20100%20Mil/100%20mil/analytics.tiktok.com/i18n/pixel/events.js	(from https://packdemusicas.com.br/)
12:26:10	228811/228811	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2011%20Jul%202024%2015:26:10%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Meus%20Sites/Pack%20100%20Mil/100%20mil/connect.facebook.net/en_US/fbevents.js	(from https://packdemusicas.com.br/)
12:26:10	1090/1090	---M--	200	added ('OK')	image/png	etag:%22442-654eabc6-34a1091900db80bc;;;%22	https://packdemusicas.com.br/Imagens/mobile/btnwhatsapp.png	C:/Meus%20Sites/Pack%20100%20Mil/100%20mil/packdemusicas.com.br/Imagens/mobile/btnwhatsapp.png	(from https://packdemusicas.com.br/)
12:26:11	496/496	---M--	200	added ('OK')	image/png	etag:%221f0-654eabbd-98e1f85c7834681;;;%22	https://packdemusicas.com.br/Imagens/iconestitulo.png	C:/Meus%20Sites/Pack%20100%20Mil/100%20mil/packdemusicas.com.br/Imagens/iconestitulo.png	(from https://packdemusicas.com.br/)
